wall_time_s,sim_time_s,frame_index,LShoulderPitch_cmd_rad,LShoulderPitch_meas_rad,RShoulderPitch_cmd_rad,RShoulderPitch_meas_rad,LShoulderRoll_cmd_rad,LShoulderRoll_meas_rad,RShoulderRoll_cmd_rad,RShoulderRoll_meas_rad,LElbowRoll_cmd_rad,LElbowRoll_meas_rad,RElbowRoll_cmd_rad,RElbowRoll_meas_rad,HeadYaw_cmd_rad,HeadYaw_meas_rad,HeadPitch_cmd_rad,HeadPitch_meas_rad,LHipYawPitch_cmd_rad,LHipYawPitch_meas_rad,LHipRoll_cmd_rad,LHipRoll_meas_rad,LHipPitch_cmd_rad,LHipPitch_meas_rad,LKneePitch_cmd_rad,LKneePitch_meas_rad,LAnklePitch_cmd_rad,LAnklePitch_meas_rad,LAnkleRoll_cmd_rad,LAnkleRoll_meas_rad,RHipYawPitch_cmd_rad,RHipYawPitch_meas_rad,RHipRoll_cmd_rad,RHipRoll_meas_rad,RHipPitch_cmd_rad,RHipPitch_meas_rad,RKneePitch_cmd_rad,RKneePitch_meas_rad,RAnklePitch_cmd_rad,RAnklePitch_meas_rad,RAnkleRoll_cmd_rad,RAnkleRoll_meas_rad
1787226326.805778,0.02,0,1.48353,1.289244,1.48353,1.147964,0.174533,0.196134,-0.174533,0.265258,-0.523599,-0.910419,0.523599,0.896033,0.0,0.287258,0.0,-0.004253,0.0,0.107517,0.0,-1e-06,-0.1,-0.080804,0.2,0.180799,-0.1,-0.0808,0.0,-1e-06,0.0,0.107522,0.0,0.228239,-0.1,-0.460421,0.2,0.119234,-0.1,0.067761,0.0,-0.228235
1787226326.825475,0.04,1,1.48353,1.328083,1.48353,1.197386,0.174533,0.191736,-0.174533,0.222072,-0.523599,-0.867325,0.523599,0.852974,0.0,0.237647,0.0,-0.003618,0.0,0.086015,0.0,-1e-06,-0.1,-0.084642,0.2,0.184639,-0.1,-0.08464,0.0,-1e-06,0.0,0.086018,0.0,0.192883,-0.1,-0.406035,0.2,0.135368,-0.1,0.034228,0.0,-0.192884
1787226326.842862,0.06,2,1.48353,1.359152,1.48353,1.246699,0.174533,0.188187,-0.174533,0.178861,-0.523599,-0.824222,0.523599,0.809917,0.0,0.190129,0.0,-0.003087,0.0,0.068812,0.0,-1e-06,-0.1,-0.087714,0.2,0.187711,-0.1,-0.087712,0.0,-1e-06,0.0,0.068815,0.0,0.157526,-0.1,-0.351649,0.2,0.148294,-0.1,0.0074,0.0,-0.157532
1787226326.862122,0.08,3,1.48353,1.384048,1.48353,1.294277,0.174533,0.185696,-0.174533,0.136293,-0.523599,-0.78112,0.523599,0.766857,0.0,0.152103,0.0,-0.002607,0.0,0.055052,0.0,-0.0,-0.1,-0.090171,0.2,0.190168,-0.1,-0.090169,0.0,-1e-06,0.0,0.055054,0.0,0.126026,-0.1,-0.301336,0.2,0.158625,-0.1,-0.014065,0.0,-0.126034
1787226326.879206,0.1,4,1.48353,1.403965,1.48353,1.332442,0.174533,0.183707,-0.174533,0.093748,-0.523599,-0.738015,0.523599,0.723792,0.0,0.121683,0.0,-0.002096,0.0,0.044043,0.0,-0.0,-0.1,-0.092136,0.2,0.192134,-0.1,-0.092135,0.0,-1e-06,0.0,0.044045,0.0,0.100825,-0.1,-0.26108,0.2,0.166895,-0.1,-0.031243,0.0,-0.100833
1787226326.903996,0.12,5,1.472205,1.419892,1.48353,1.362869,0.150951,0.182026,-0.174533,0.051013,-0.523599,-0.695155,0.523599,0.683801,0.112153,0.097347,0.205949,-0.001695,0.0,0.035235,-0.193697,-0.0,-0.0755,-0.093709,0.151,0.193707,-0.0755,-0.093707,0.193697,-1e-06,0.0,0.035237,0.0,0.080662,-0.1,-0.228868,0.2,0.173513,-0.1,-0.04499,0.0,-0.080668
1787226326.917074,0.14,6,1.472205,1.430335,1.48353,1.386708,0.150951,0.175787,-0.174533,0.007904,-0.523599,-0.66085,0.523599,0.651784,0.112153,0.1002,0.205949,0.039835,0.000714,0.028189,-0.251806,-0.035357,-0.06815,-0.090068,0.1363,0.185167,-0.06815,-0.090067,0.251806,0.035357,0.000714,0.02819,0.0,0.06453,-0.1,-0.203096,0.2,0.178809,-0.1,-0.055991,0.0,-0.064536
1787226326.931871,0.16,7,1.472205,1.438704,1.48353,1.405913,0.150951,0.170817,-0.174533,-0.028523,-0.523599,-0.633403,0.523599,0.626161,0.112153,0.102594,0.205949,0.073054,0.001073,0.022694,-0.269239,-0.070713,-0.065945,-0.085685,0.13189,0.175396,-0.065945,-0.085685,0.269239,0.070713,0.001073,0.022696,0.0,0.051624,-0.1,-0.182478,0.2,0.183047,-0.1,-0.064792,0.0,-0.051629
1787226326.950662,0.18,8,1.472205,1.445403,1.48353,1.421344,0.150951,0.166846,-0.174533,-0.057673,-0.523599,-0.611444,0.523599,0.605654,0.112153,0.104515,0.205949,0.09963,0.001236,0.01837,-0.274469,-0.106069,-0.065284,-0.081737,0.130567,0.166696,-0.065284,-0.081737,0.274469,0.106069,0.001236,0.018371,0.0,0.0413,-0.1,-0.165982,0.2,0.186437,-0.1,-0.071833,0.0,-0.041304
1787226326.968606,0.2,9,1.472205,1.450762,1.48353,1.433712,0.150951,0.163667,-0.174533,-0.081013,-0.523599,-0.593876,0.523599,0.589246,0.112153,0.106057,0.205949,0.120891,0.001594,0.014943,-0.276038,-0.139745,-0.065085,-0.078447,0.13017,0.159471,-0.065085,-0.078447,0.276038,0.139745,0.001594,0.014945,0.0,0.03304,-0.1,-0.152785,0.2,0.18915,-0.1,-0.077466,0.0,-0.033043
