wall_time_s,sim_time_s,frame_index,LShoulderPitch_cmd_rad,LShoulderPitch_meas_rad,RShoulderPitch_cmd_rad,RShoulderPitch_meas_rad,LShoulderRoll_cmd_rad,LShoulderRoll_meas_rad,RShoulderRoll_cmd_rad,RShoulderRoll_meas_rad,LElbowRoll_cmd_rad,LElbowRoll_meas_rad,RElbowRoll_cmd_rad,RElbowRoll_meas_rad,HeadYaw_cmd_rad,HeadYaw_meas_rad,HeadPitch_cmd_rad,HeadPitch_meas_rad,LHipYawPitch_cmd_rad,LHipYawPitch_meas_rad,LHipRoll_cmd_rad,LHipRoll_meas_rad,LHipPitch_cmd_rad,LHipPitch_meas_rad,LKneePitch_cmd_rad,LKneePitch_meas_rad,LAnklePitch_cmd_rad,LAnklePitch_meas_rad,LAnkleRoll_cmd_rad,LAnkleRoll_meas_rad,RHipYawPitch_cmd_rad,RHipYawPitch_meas_rad,RHipRoll_cmd_rad,RHipRoll_meas_rad,RHipPitch_cmd_rad,RHipPitch_meas_rad,RKneePitch_cmd_rad,RKneePitch_meas_rad,RAnklePitch_cmd_rad,RAnklePitch_meas_rad,RAnkleRoll_cmd_rad,RAnkleRoll_meas_rad
1787224275.026975,0.02,0,1.44663,0.049599,1.358792,0.049599,0.176526,0.034885,-0.264364,-0.034886,-0.523599,-0.043112,0.552433,0.043112,0.131992,0.0,-0.10697,0.0,0.0,0.0,0.044285,-0.0,-0.07,0.0,0.14,0.0,-0.07,0.0,-0.044285,-0.0,0.0,0.0,-0.03212,0.0,0.061755,0.0,0.14,0.0,-0.201755,0.0,0.03212,0.0
1787224275.045806,0.04,1,1.44663,0.132151,1.358792,0.132299,0.176526,0.063316,-0.264364,-0.080437,-0.523599,-0.086202,0.552433,0.114931,0.131992,0.02634,-0.10697,-0.021455,0.0013,4e-06,0.044285,0.008854,-0.07,-0.007234,0.14,0.028,-0.07,-0.014,-0.044285,-0.008857,0.0013,-4e-06,-0.03212,0.005251,0.061755,-0.001774,0.14,0.027998,-0.201755,-0.040349,0.03212,0.006424
1787224275.065108,0.06,2,1.44663,0.214701,1.358792,0.214928,0.176526,0.085981,-0.264364,-0.11678,-0.523599,-0.129295,0.552433,0.186756,0.131992,0.047424,-0.10697,-0.038601,0.001044,0.000262,0.044285,0.015937,-0.07,-0.0184,0.14,0.050401,-0.07,-0.025199,-0.044285,-0.015943,0.001044,0.000257,-0.03212,0.00951,0.061755,-0.008445,0.14,0.050397,-0.201755,-0.07263,0.03212,0.011563
1787224275.08837,0.08,3,1.420205,0.297266,1.2938,0.297524,0.182007,0.104045,-0.308412,-0.145821,-0.752028,-0.172392,0.573207,0.25859,0.172346,0.064305,-0.177097,-0.052301,-0.025933,0.000419,0.042607,0.021604,-0.112801,-0.028718,0.14,0.068322,-0.027199,-0.034159,-0.042607,-0.021612,-0.025933,0.000412,-0.023253,0.012889,0.049084,-0.015116,0.14,0.068316,-0.189084,-0.098455,0.023253,0.015675
1787224275.104124,0.1,4,1.420205,0.37984,1.2938,0.380048,0.182007,0.11948,-0.308412,-0.177898,-0.752028,-0.244207,0.573207,0.321454,0.172346,0.085868,-0.177097,-0.077275,-0.036402,-0.00485,0.042104,0.025779,-0.125642,-0.045533,0.14,0.082658,-0.014358,-0.032767,-0.042104,-0.025811,-0.036402,-0.004859,-0.020593,0.013937,0.045283,-0.028194,0.14,0.082652,-0.185283,-0.116581,0.020593,0.017191
1787224275.12201,0.12,5,1.392399,0.462435,1.26117,0.462559,0.197247,0.131729,-0.328476,-0.203617,-0.898938,-0.316033,0.5961,0.371768,0.148536,0.103141,-0.225617,-0.097234,-0.083393,-0.011158,0.033767,0.029041,-0.11997,-0.061553,0.14,0.094127,-0.02003,-0.029086,-0.033767,-0.02907,-0.083393,-0.011169,-0.010079,0.014337,0.055472,-0.040912,0.14,0.09412,-0.195472,-0.130321,0.010079,0.017872
1787224275.138012,0.14,6,1.392399,0.545045,1.26117,0.545007,0.197247,0.144379,-0.328476,-0.22838,-0.898938,-0.387866,0.5961,0.416601,0.148536,0.112217,-0.225617,-0.122897,-0.099006,-0.025603,0.031265,0.029983,-0.118269,-0.073234,0.14,0.103303,-0.021731,-0.027275,-0.031265,-0.03001,-0.099006,-0.025615,-0.006925,0.011293,0.058529,-0.050145,0.14,0.103294,-0.198529,-0.14335,0.006925,0.016314
1787224275.15302,0.16,7,1.392399,0.627666,1.26117,0.627476,0.197247,0.154406,-0.328476,-0.248284,-0.898938,-0.45971,0.5961,0.452483,0.148536,0.119492,-0.225617,-0.143427,-0.105063,-0.040281,0.030515,0.030237,-0.117758,-0.082239,0.14,0.110643,-0.022242,-0.026166,-0.030515,-0.030261,-0.105063,-0.040294,-0.005979,0.008137,0.059446,-0.057366,0.14,0.110634,-0.199446,-0.154385,0.005979,0.014437
1787224275.174803,0.18,8,1.360503,0.710291,1.245447,0.709979,0.221603,0.162399,-0.336659,-0.264262,-0.965005,-0.531564,0.600996,0.481202,0.112707,0.125319,-0.241798,-0.159852,-0.115519,-0.053235,0.022603,0.03029,-0.176005,-0.089341,0.14,0.116515,0.036005,-0.025381,-0.022603,-0.030312,-0.115519,-0.053249,-0.006482,0.00538,0.073099,-0.063159,0.14,0.116506,-0.213099,-0.163397,0.006482,0.012746
1787224275.192724,0.2,9,1.360503,0.792909,1.245447,0.79248,0.221603,0.173624,-0.336659,-0.278747,-0.965005,-0.60342,0.600996,0.505161,0.112707,0.122835,-0.241798,-0.176247,-0.118656,-0.065689,0.02023,0.028752,-0.193479,-0.106672,0.14,0.121213,0.053479,-0.013104,-0.02023,-0.028771,-0.118656,-0.065704,-0.006633,0.00301,0.077196,-0.076751,0.14,0.121204,-0.217196,-0.173338,0.006633,0.011494
