wall_time_s,sim_time_s,frame_index,LShoulderPitch_cmd_rad,LShoulderPitch_meas_rad,RShoulderPitch_cmd_rad,RShoulderPitch_meas_rad,LShoulderRoll_cmd_rad,LShoulderRoll_meas_rad,RShoulderRoll_cmd_rad,RShoulderRoll_meas_rad,LElbowRoll_cmd_rad,LElbowRoll_meas_rad,RElbowRoll_cmd_rad,RElbowRoll_meas_rad,HeadYaw_cmd_rad,HeadYaw_meas_rad,HeadPitch_cmd_rad,HeadPitch_meas_rad,LHipYawPitch_cmd_rad,LHipYawPitch_meas_rad,LHipRoll_cmd_rad,LHipRoll_meas_rad,LHipPitch_cmd_rad,LHipPitch_meas_rad,LKneePitch_cmd_rad,LKneePitch_meas_rad,LAnklePitch_cmd_rad,LAnklePitch_meas_rad,LAnkleRoll_cmd_rad,LAnkleRoll_meas_rad,RHipYawPitch_cmd_rad,RHipYawPitch_meas_rad,RHipRoll_cmd_rad,RHipRoll_meas_rad,RHipPitch_cmd_rad,RHipPitch_meas_rad,RKneePitch_cmd_rad,RKneePitch_meas_rad,RAnklePitch_cmd_rad,RAnklePitch_meas_rad,RAnkleRoll_cmd_rad,RAnkleRoll_meas_rad
1787226760.726875,0.02,0,1.516619,0.049599,1.393788,0.049599,0.102903,0.034885,-0.229368,-0.034886,-0.523599,-0.043112,0.469343,0.043112,0.355288,0.0,-0.153303,0.0,0.0,0.0,0.0,-0.0,-0.1,0.0,0.2,0.0,-0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.2,0.0,-0.1,0.0,0.0,0.0
1787226760.749414,0.04,1,1.516619,0.132237,1.393788,0.132199,0.102903,0.048419,-0.229368,-0.073642,-0.523599,-0.086201,0.469343,0.114924,0.355288,0.071007,-0.153303,-0.03063,0.0,0.0,0.0,0.0,-0.1,-0.019999,0.2,0.039999,-0.1,-0.019999,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1,-0.019999,0.2,0.039999,-0.1,-0.019999,0.0,-0.0
1787226760.767192,0.06,2,1.516619,0.214874,1.393788,0.21477,0.102903,0.059211,-0.229368,-0.104563,-0.523599,-0.129297,0.469343,0.185732,0.355288,0.127815,-0.153303,-0.055087,-0.000263,-0.0,0.0,0.0,-0.1,-0.035999,0.2,0.071998,-0.1,-0.035999,0.0,0.0,-0.000263,-0.0,0.0,-0.0,-0.1,-0.035999,0.2,0.071998,-0.1,-0.035999,0.0,-0.0
1787226760.788446,0.08,3,1.526337,0.297513,1.356439,0.29734,0.073695,0.067831,-0.245773,-0.129252,-0.614951,-0.172397,0.400243,0.242405,0.53161,0.173271,-0.271482,-0.074651,-0.007989,-5.2e-05,0.0,1e-06,-0.1,-0.048799,0.2,0.097598,-0.1,-0.048799,0.0,1e-06,-0.007989,-5.2e-05,0.0,-1e-06,-0.1,-0.048799,0.2,0.097598,-0.1,-0.048799,0.0,-1e-06
1787226760.805635,0.1,4,1.526337,0.380162,1.356439,0.379911,0.073695,0.068907,-0.245773,-0.152241,-0.614951,-0.244214,0.400243,0.273956,0.53161,0.244817,-0.271482,-0.113854,-0.010798,-0.000505,0.0,-5e-06,-0.1,-0.05904,0.2,0.118078,-0.1,-0.059039,0.0,-5e-06,-0.010798,-0.000538,0.0,5e-06,-0.1,-0.05904,0.2,0.118078,-0.1,-0.059039,0.0,5e-06
1787226760.821088,0.12,5,1.526337,0.462812,1.356439,0.462494,0.073695,0.069774,-0.245773,-0.170632,-0.614951,-0.316043,0.400243,0.299207,0.53161,0.302068,-0.271482,-0.1452,-0.012004,-0.000757,0.0,8e-06,-0.1,-0.067232,0.2,0.134462,-0.1,-0.067232,0.0,8e-06,-0.012004,-0.000793,0.0,-8e-06,-0.1,-0.067232,0.2,0.134462,-0.1,-0.067232,0.0,-8e-06
1787226760.842689,0.14,6,1.537411,0.545463,1.340878,0.54509,0.050926,0.070475,-0.248768,-0.185361,-0.681638,-0.375783,0.359178,0.319416,0.60995,0.347894,-0.34535,-0.1703,-0.022993,-0.001015,0.0,-1.1e-05,-0.1,-0.073786,0.2,0.14757,-0.1,-0.073785,0.0,-1.1e-05,-0.022993,-0.001051,0.0,1.1e-05,-0.1,-0.073785,0.2,0.14757,-0.1,-0.073785,0.0,1.1e-05
1787226760.857132,0.16,7,1.537411,0.628117,1.340878,0.627698,0.050926,0.066508,-0.248768,-0.197751,-0.681638,-0.436914,0.359178,0.327386,0.60995,0.400183,-0.34535,-0.205128,-0.026545,-0.001287,0.0,1.3e-05,-0.1,-0.079029,0.2,0.158056,-0.1,-0.079029,0.0,1.3e-05,-0.026545,-0.001326,0.0,-1.3e-05,-0.1,-0.079028,0.2,0.158056,-0.1,-0.079029,0.0,-1.3e-05
1787226760.877074,0.18,8,1.538755,0.710771,1.341949,0.710317,0.042566,0.063352,-0.240157,-0.20769,-0.725234,-0.485841,0.372929,0.333761,0.607622,0.442041,-0.374826,-0.233019,-0.05263,-0.001622,0.0,-1.5e-05,-0.1,-0.083223,0.2,0.166444,-0.1,-0.083223,0.0,-1.5e-05,-0.05263,-0.001654,0.0,1.5e-05,-0.1,-0.083223,0.2,0.166444,-0.1,-0.083223,0.0,1.5e-05
1787226760.894615,0.2,9,1.538755,0.793423,1.341949,0.792951,0.042566,0.059207,-0.240157,-0.213913,-0.725234,-0.533705,0.372929,0.341608,0.607622,0.475076,-0.374826,-0.261254,-0.061455,-0.003931,0.0,1.6e-05,-0.1,-0.086578,0.2,0.173155,-0.1,-0.086578,0.0,1.6e-05,-0.061455,-0.003802,0.0,-1.6e-05,-0.1,-0.086578,0.2,0.173155,-0.1,-0.086578,0.0,-1.6e-05
