wall_time_s,sim_time_s,frame_index,LShoulderPitch_cmd_rad,LShoulderPitch_meas_rad,RShoulderPitch_cmd_rad,RShoulderPitch_meas_rad,LShoulderRoll_cmd_rad,LShoulderRoll_meas_rad,RShoulderRoll_cmd_rad,RShoulderRoll_meas_rad,LElbowRoll_cmd_rad,LElbowRoll_meas_rad,RElbowRoll_cmd_rad,RElbowRoll_meas_rad,HeadYaw_cmd_rad,HeadYaw_meas_rad,HeadPitch_cmd_rad,HeadPitch_meas_rad,LHipYawPitch_cmd_rad,LHipYawPitch_meas_rad,LHipRoll_cmd_rad,LHipRoll_meas_rad,LHipPitch_cmd_rad,LHipPitch_meas_rad,LKneePitch_cmd_rad,LKneePitch_meas_rad,LAnklePitch_cmd_rad,LAnklePitch_meas_rad,LAnkleRoll_cmd_rad,LAnkleRoll_meas_rad,RHipYawPitch_cmd_rad,RHipYawPitch_meas_rad,RHipRoll_cmd_rad,RHipRoll_meas_rad,RHipPitch_cmd_rad,RHipPitch_meas_rad,RKneePitch_cmd_rad,RKneePitch_meas_rad,RAnklePitch_cmd_rad,RAnklePitch_meas_rad,RAnkleRoll_cmd_rad,RAnkleRoll_meas_rad
1787225949.461265,0.02,0,1.48353,1.289244,1.48353,1.147964,0.174533,0.196134,-0.174533,0.265258,-0.523599,-0.910419,0.523599,0.896033,0.0,0.287258,0.0,-0.004253,0.0,0.107517,0.0,-1e-06,-0.1,-0.080804,0.2,0.180799,-0.1,-0.0808,0.0,-1e-06,0.0,0.107522,0.0,0.228239,-0.1,-0.460421,0.2,0.119234,-0.1,0.067761,0.0,-0.228235
1787225949.481476,0.04,1,1.511051,1.328083,1.48353,1.197386,0.097334,0.191736,-0.174533,0.222072,-0.523599,-0.867325,0.523599,0.852974,0.425371,0.237647,0.205949,-0.003618,0.0,0.086015,-0.193697,-1e-06,-0.0755,-0.084642,0.325582,0.184639,-0.247,-0.08464,0.193697,-1e-06,0.0,0.086018,0.0,0.192883,-0.1,-0.406035,0.2,0.135368,-0.1,0.034228,0.0,-0.192884
1787225949.49854,0.06,2,1.511051,1.364248,1.48353,1.245962,0.097334,0.17211,-0.174533,0.178036,-0.523599,-0.824222,0.523599,0.809913,0.425371,0.274971,0.205949,0.038483,0.010444,0.068816,-0.251806,-0.035356,-0.06815,-0.082815,0.363257,0.212828,-0.2911,-0.117111,0.251806,0.035353,0.010444,0.068824,0.0,0.157539,-0.1,-0.351661,0.2,0.148296,-0.1,0.0074,0.0,-0.157538
1787225949.518339,0.08,3,1.530353,1.393593,1.48353,1.2933,0.053805,0.157173,-0.174533,0.13499,-0.523599,-0.781111,0.523599,0.766836,0.695208,0.304812,0.329518,0.072165,0.014585,0.057143,-0.269239,-0.070708,-0.065945,-0.079883,0.374572,0.242903,-0.30433,-0.151898,0.269239,0.070706,0.014585,0.05715,0.0,0.126036,-0.1,-0.30134,0.2,0.158627,-0.1,-0.014069,0.0,-0.126037
1787225949.538535,0.1,4,1.530353,1.420805,1.48353,1.330915,0.053805,0.136374,-0.174533,0.091742,-0.523599,-0.737991,0.523599,0.723739,0.695208,0.382357,0.329518,0.124141,0.016443,0.048631,-0.274469,-0.106066,-0.065284,-0.077096,0.377966,0.269234,-0.308299,-0.182383,0.274469,0.106065,0.016443,0.048638,0.0,0.100831,-0.1,-0.261076,0.2,0.166898,-0.1,-0.031251,0.0,-0.100831
1787225949.554553,0.12,5,1.530353,1.442605,1.48353,1.361017,0.053805,0.119769,-0.174533,0.048533,-0.523599,-0.695129,0.523599,0.683742,0.695208,0.444493,0.329518,0.165465,0.017259,0.042193,-0.276038,-0.139745,-0.065085,-0.074734,0.378984,0.290979,-0.30949,-0.207565,0.276038,0.139744,0.017259,0.0422,0.0,0.080665,-0.1,-0.228863,0.2,0.173517,-0.1,-0.044998,0.0,-0.080666
1787225949.580916,0.14,6,1.543151,1.460078,1.48353,1.385145,0.028905,0.106518,-0.174533,0.005361,-0.523599,-0.660832,0.523599,0.651732,0.762654,0.494333,0.40366,0.19836,0.021258,0.037206,-0.276508,-0.167002,-0.089114,-0.072805,0.38908,0.308578,-0.298643,-0.227949,0.276508,0.167002,0.021258,0.037212,0.0,0.064533,-0.1,-0.203092,0.2,0.178813,-0.1,-0.055997,0.0,-0.064533
1787225949.592613,0.16,7,1.543151,1.476635,1.48353,1.404596,0.028905,0.090974,-0.174533,-0.030606,-0.523599,-0.63339,0.523599,0.626115,0.762654,0.547636,0.40366,0.239447,0.02104,0.034016,-0.276649,-0.188903,-0.096323,-0.076068,0.392109,0.324678,-0.295389,-0.242088,0.276649,0.188903,0.02104,0.034022,0.0,0.051627,-0.1,-0.182474,0.2,0.18305,-0.1,-0.064797,0.0,-0.051626
1787225949.610654,0.18,8,1.529426,1.489915,1.48353,1.420263,0.042126,0.078564,-0.174533,-0.05936,-0.523599,-0.611435,0.523599,0.605617,0.58534,0.590374,0.448145,0.272268,0.034842,0.03142,-0.276692,-0.206451,-0.111518,-0.080119,0.42319,0.338163,-0.311553,-0.252749,0.276692,0.206452,0.034842,0.031426,0.0,0.041302,-0.112621,-0.16598,0.225243,0.186439,-0.112621,-0.071837,0.0,-0.041301
1787225949.631922,0.2,9,1.529426,1.497812,1.48353,1.432855,0.042126,0.071286,-0.174533,-0.08236,-0.523599,-0.593869,0.523599,0.589216,0.58534,0.589155,0.448145,0.307443,0.038388,0.032103,-0.276705,-0.220499,-0.116077,-0.0864,0.432514,0.355167,-0.316402,-0.26451,0.276705,0.220499,0.038388,0.032109,0.0,0.033042,-0.116408,-0.155309,0.232815,0.1942,-0.116408,-0.079993,0.0,-0.033041
