frame_index,timestamp_s,LElbowRoll,LHipPitch,LShoulderPitch,RElbowRoll,RHipPitch,RShoulderPitch,TorsoPitch
7,1787225992.0295827,2.356194490192345,-1.3095621331406255,1.4468203034913802,-2.250399665812816,-1.53588974175501,1.205650894719852,-0.5235987755982988
8,1787225992.09892,2.356194490192345,-1.2699346422922966,1.4528275968804456,-2.287427854345651,-1.4542359484322367,1.2261602535847649,-0.5235987755982988
9,1787225992.147219,2.356194490192345,-1.272736234095487,1.4461414937649275,-2.311496176891994,-1.4316087064967995,1.2186167864774762,-0.5235987755982988
10,1787225992.2087517,2.356194490192345,-1.2889581190584194,1.4594710153200159,-2.3271405865471166,-1.4092265788664464,1.203362604878997,-0.5235987755982988
11,1787225992.255288,2.356194490192345,-1.2965759427646681,1.463330182066135,-2.3373094528229466,-1.3962385939468622,1.193433282717881,-0.5235987755982988
12,1787225992.308854,2.356194490192345,-1.320231092619953,1.487935469319957,-2.343919215902236,-1.3925215955651324,1.1815996679613598,-0.5235987755982988
41,1787225994.588494,1.6259343945359608,-1.2561491149288821,1.5125754233555124,-2.1488818533377216,-1.3142510714646352,1.2006601896948395,-0.5235987755982988
88,1787225998.4438899,1.3525046152167828,-1.210864330145068,1.5302855982371806,-2.22144127623684,-1.2543147460186193,1.1106950449202648,-0.5235987755982988
96,1787225999.0734904,1.4577449322590383,-1.159430390965454,1.482071786410756,-2.268604901121267,-1.1815314912049208,1.0821418019753983,-0.5235987755982988
99,1787225999.3138578,1.5416560702688953,-1.159878939852939,1.4886780325905238,-2.299261257296144,-1.1726333585310895,1.0417641303014342,-0.5235987755982988
101,1787225999.4491446,1.626747883535037,-1.1760941478238036,1.4773042748071015,-2.3191878888098145,-1.1687329915429463,1.035491198827124,-0.5235987755982988
123,1787226001.2373898,1.4554579497120697,-1.0978518506343753,1.4938871893548729,-2.3321401992937,-1.1489836580749575,1.0248821574370583,-0.5235987755982988
135,1787226002.2746568,1.7573571429380155,-1.0897899778719464,1.417285875997311,-2.340559201108226,-1.219704129963518,1.087122640300074,-0.5235987755982988
176,1787226004.992932,1.9669502144770308,-0.6090829862920882,0.4149609999199807,-2.3460315522876676,-0.6278740701628227,0.18721721377816392,-0.5235987755982988
178,1787226005.1106765,2.1031857109773906,-0.682558648043359,0.7344879836503388,-2.349588580554305,-0.7657046249076735,0.4443734266457171,-0.5235987755982988
181,1787226005.2969427,2.1917387837026245,-0.7249109730882508,0.935756668919058,-2.351900648927619,-0.8624233728647042,0.6101452650802748,-0.5235987755982988
182,1787226005.3659704,2.2492982809740267,-0.7182319949220304,1.0821381053099965,-2.3534034933702728,-0.9107737961688002,0.7225955324512476,-0.5235987755982988
183,1787226005.4113119,2.286711954200438,-0.6245016785196418,1.1869949599679237,-2.354380342257998,-0.8664402435976626,0.7958862984180382,-0.5235987755982988
184,1787226005.4544022,2.3110308417976055,-0.5927468775384299,1.2474561600955305,-2.3550152940350193,-0.7490452875854754,0.850239385843307,-0.5235987755982988
211,1787226007.6063592,2.3268381187357643,-0.7848334459981205,1.29149692121268,-2.3554280126900835,-0.9310005410966553,0.8687588309399612,-0.5235987755982988
255,1787226010.9405756,2.3371128487455675,-0.35643928910314915,0.4574377553777481,-2.355696279815875,-0.44021673739936185,0.0697811512416992,-0.5235987755982988
268,1787226011.995992,2.132419141405034,-0.09756564484215713,0.052161889256692434,-2.3558706534476395,-0.12120726499612108,-0.47135628548901876,-0.5235987755982988
360,1787226016.1910508,1.9216061399788384,0.08655496265658046,-0.23186819141670972,-2.317765314868744,0.08614889206598542,-0.8407060113108522,-0.5235987755982988
442,1787226019.8171842,2.0737120625535654,-0.36214433363435855,0.2724813021812862,-2.3312155262320045,-0.48156462977136294,-0.2659552872311977,-0.5235987755982988
446,1787226020.0492492,2.1725809122271382,-0.6519076505645032,0.7075720828741503,-1.9199105388926891,-0.3678702134001882,0.3065795242758855,-0.5235987755982988
450,1787226020.3170793,2.198074499946956,-0.668168406948672,0.9586498934579912,-1.8250135702730412,-0.232248547102977,-0.045688096346703955,-0.5235987755982988
459,1787226020.9121387,2.253416496532842,-0.9119752727851536,1.1390183692442335,-1.9715871820009934,-0.5354124119505553,0.35190936285999785,-0.5235987755982988
461,1787226021.0258296,2.289388794313668,-1.004320966892698,1.2470842774947353,-2.106199739867966,-0.8368329943493171,0.5697820355054585,-0.5235987755982988
467,1787226021.3797064,2.312770787871205,-1.0809757866546255,1.280361985501588,-2.1936979024814987,-1.0815028559413096,0.7023707906129082,-0.5235987755982988
469,1787226021.5164764,2.327969083683604,-1.1047922556503464,1.35278188060963,-2.2505717081802947,-1.1748095154202642,0.791784052124348,-0.5235987755982988
471,1787226021.6469276,2.3378479759616635,-1.1559144879582683,1.356540852061487,-2.287539681884512,-1.2983344003348067,0.8490548206656656,-0.5235987755982988
481,1787226022.3546004,2.344269255942402,-1.1660970984213357,1.3853992425995378,-2.3115688647922537,-1.3676419429545321,0.9009874570946628,-0.5235987755982988
482,1787226022.4461455,2.348443087929882,-1.1344487224111073,1.4205591566297282,-2.3271878336822853,-1.3369584176388418,0.9250942536156626,-0.5235987755982988
483,1787226022.4908843,2.3511560787217443,-1.0994029977107436,1.4693087994245864,-2.337340163460806,-1.325548520066671,0.9263379995563095,-0.5235987755982988
487,1787226022.7474384,2.3529195227364545,-1.1540476643001623,1.4939458875843776,-2.2295607846938488,-1.3807852685778552,0.9536280449579864,-0.5235987755982988
488,1787226022.8132913,2.3540657613460163,-1.146868529825848,1.4900659687154536,-2.264432551600203,-1.340656270519985,0.9710048105508664,-0.5235987755982988
489,1787226022.8707411,2.3548108164422317,-1.120347564824988,1.479122806352013,-2.256997585453628,-1.2836995734094103,0.9840013350943634,-0.5235987755982988
490,1787226022.919402,2.3552951022547712,-1.094609882122422,1.4566186156772707,-2.2917165021121786,-1.2653406172960957,0.9902067098312659,-0.5235987755982988
491,1787226022.963944,2.355609888032922,-1.0723774036642466,1.4350283132538149,-2.284856772382459,-1.2568780239791872,0.9955681594857089,-0.5235987755982988
508,1787226024.0978997,2.35581449878872,-0.9090790838857736,1.460619722305129,-1.8798265002558625,-0.7318735350138001,1.0920637766396668,-0.5235987755982988
536,1787226025.9439182,2.355947495779989,-1.0743133998861634,1.4390862924540877,-1.653982138181677,-0.7594615212835631,1.1349910158211665,-0.5235987755982988
541,1787226026.2476556,2.356033943824314,-1.2358651195402597,1.4681500568289392,-1.5356388855277179,-0.8043303856131314,1.157934795380536,-0.5235987755982988
552,1787226026.9556534,2.3560901350531247,-1.2101232672894557,1.4239546006102344,-1.8228333471603375,-1.0086792469802106,1.0539854990843947,-0.5235987755982988
565,1787226027.9741504,2.356126659351852,-1.2051666580404226,1.393872456094596,-2.00950974722154,-1.1248205360495658,1.0662400635356382,-0.5235987755982988
580,1787226029.1668775,2.347985533423258,-1.2182921631885473,1.4096168454015279,-2.130849407261322,-1.2491830548504064,1.0488383033781292,-0.5235987755982988
581,1787226029.2666113,2.3508586682924384,-1.1515536733124658,1.4467590279937443,-2.2097201862871803,-1.2134599153461516,1.060763243269649,-0.5235987755982988
582,1787226029.3223472,2.3527262059574054,-1.1024670522853626,1.457809144098717,-2.260986192653988,-1.1727248550327822,1.0760530094692335,-0.5235987755982988
583,1787226029.3711276,2.3539401054396345,-1.0358318755872056,1.4633851764393713,-2.294309096792413,-1.1333968731654795,1.0632195384166638,-0.5235987755982988
584,1787226029.4179833,2.354729140103083,-0.9726560272764072,1.408800849614114,-2.315968984482389,-1.1173186306721674,1.050555759930214,-0.5235987755982988
589,1787226029.7774446,2.2316599349344646,-0.9725461532529315,1.4620176551735615,-2.3300479114808734,-1.1035775489723354,1.1134818502733712,-0.5235987755982988
630,1787226033.10105,2.2752470292747224,-0.8592838978593846,1.3382781864113478,-2.3391992140298887,-1.0154311891203975,1.1282098171571726,-0.5235987755982988
636,1787226033.5533602,1.9328535008364922,-0.8563039730279836,1.4134474555259045,-2.3451475606867485,-1.0152877728646748,1.163626346742352,-0.5235987755982988
639,1787226033.780231,1.8483139030527922,-0.7407445449127479,1.3451250282191278,-2.2997442222491578,-0.9883366201688379,0.8264389933923053,-0.5235987755982988
642,1787226033.972929,1.9771617791116056,-0.8630781198643109,1.3731966694350681,-1.901663485449603,-1.1336174672939818,1.0660700884158407,-0.5235987755982988
643,1787226034.0767505,2.1098232279898643,-0.9549050509747166,1.286596471789009,-2.060749337109563,-1.1970555436462826,1.0683918579556626,-0.5235987755982988
645,1787226034.1999025,2.0493373393651217,-0.961759507929735,1.2313150371855341,-2.1641551406885364,-1.199430802833266,1.1198457650716447,-0.5235987755982988
647,1787226034.319305,2.15673734215465,-0.9277841493421173,1.173603786837304,-2.201783477825974,-1.1402687670550644,1.2548966755071238,-0.5235987755982988
654,1787226034.8627625,2.041798682793288,-0.8861656767962927,1.2047909912753063,-2.016532626255569,-1.0903391751394664,1.3416385532701782,-0.5235987755982988
660,1787226035.3511214,2.151837215382958,-0.8582118542631478,1.2799208299663674,-1.9597049322650513,-1.0498406428216818,1.281704517300066,-0.5235987755982988
667,1787226035.8848932,1.8899855024886338,-0.8827810958885834,1.3706003448123654,-2.0641702407129126,-1.0410723132591886,1.2776787933342628,-0.5235987755982988
670,1787226036.086724,2.0531586481849327,-0.4088740980141151,0.38750028810942516,-2.166378728030714,-0.6658637416148372,0.4339746717149426,-0.5235987755982988
671,1787226036.1575959,2.0706123539400045,-0.1601593442211515,0.592315358640453,-1.6123868140237594,-0.7436758157691581,0.7191875607690646,-0.5235987755982988
672,1787226036.2066948,2.040410502985761,-0.3974697252517643,0.7743700231199543,-1.8241587061344693,-0.8338958023175096,0.7768621452403959,-0.5235987755982988
675,1787226036.3653848,1.8918944706534135,-0.5579080582574809,0.929847706235791,-1.7285465644802116,-0.9609970905054831,1.0483231526357082,-0.5235987755982988
677,1787226036.504392,2.0543994774920398,-0.19770662355389848,0.06422858924017394,-1.9482233384794583,-0.45971449451509994,0.3249671153148077,-0.5235987755982988
682,1787226036.9165397,2.113339104458118,0.036424309003430105,-0.4227119933522877,-2.0910132415789686,-0.13388080712135084,-0.15852574478197312,-0.5235987755982988
685,1787226037.1445978,2.1983384894650975,-0.2204634847001442,-0.7805276061600557,-2.1838266785936504,-0.40778892754590523,-0.5756963429005835,-0.5235987755982988
688,1787226037.3499024,2.253588089719634,0.021632349258370376,-1.0176911392386625,-2.2441554126531935,-0.10012918859137429,-0.7368229728881923,-0.5235987755982988
689,1787226037.4190247,2.242630151922228,0.17899464133140486,-0.7342139921995381,-2.2833690897918966,0.09984964172907083,-0.9470350623136407,-0.5235987755982988
690,1787226037.4745855,2.1648462627477594,0.2812801311788773,-0.31394926336869267,-2.224555628963523,0.22983588143736017,-0.2031425976709455,-0.5235987755982988
691,1787226037.5270157,2.1692973897120704,0.34776569957973436,-0.34428475674864956,-2.270629230393611,0.31432693724774824,-0.3559181112836747,-0.5235987755982988
695,1787226037.7554653,2.234711374880167,0.39098131904029143,-0.7121350019609347,-2.300577071323168,0.3692461235245005,-0.6695290354792913,-0.5235987755982988
696,1787226037.8260465,2.277230465239429,0.41907147168965353,-1.0074603884113864,-2.29118855460638,0.40494359460438945,-0.8180129722356067,-0.5235987755982988
697,1787226037.883772,2.30486787397295,0.4373300709117389,-1.1549423242983217,-2.3139406320614677,0.42814695080631726,-1.0035169475504022,-0.5235987755982988
698,1787226037.9293754,2.322832189649738,-0.08187295230890568,-1.235567000051959,-2.328729482407275,-0.15373617430659342,-1.1230791127452862,-0.5235987755982988
703,1787226038.2566547,2.3345089948396502,0.11171619531267543,-0.9995939647926719,-2.3383422351320498,0.06500510101417839,-0.9587465339772304,-0.5235987755982988
705,1787226038.3905845,2.342098918213093,-0.2757814958684143,-0.6744721187633451,-2.344590524403153,-0.3692341681977402,-0.5516045878629605,-0.5235987755982988
706,1787226038.4764345,2.258438222751268,-0.5128656683466162,-0.4424296509354899,-2.3486519124293705,-0.6765740721823827,-0.8479510725610394,-0.5235987755982988
707,1787226038.5270648,2.057946480494044,-0.6253165023296303,0.002760592087981073,-2.1515019348821465,-0.85997375037687,-0.20352416225728864,-0.5235987755982988
708,1787226038.5815973,2.014672102035675,-0.7194922144058895,0.25333182973947377,-2.181414646311943,-0.9728461866040932,0.31423832206923075,-0.5235987755982988
709,1787226038.6253784,1.9427234820556094,-0.782344595797646,0.44606119849255577,-2.2371218003065754,-1.0083182413582588,0.6254354209391978,-0.5235987755982988
710,1787226038.6706035,1.923456304755509,-0.7198331000552124,0.5179149900153385,-2.2787972417665947,-1.0751690060881416,0.5018148132259327,-0.5235987755982988
711,1787226038.7125866,1.9747230556978173,-0.7121315114787494,0.4353000035761224,-2.305886278715607,-1.0696336056945297,0.03469563794309083,-0.5235987755982988
712,1787226038.7656126,1.905591359480913,-0.8021453422390371,0.8157819111533644,-2.2366763539114527,-1.1582514785359757,-0.19381836337912983,-0.5235987755982988
714,1787226038.863815,2.0633024552299144,-0.8713209193551155,0.4909167480670174,-2.2785077016097652,-1.2081173101326297,-0.452535181001003,-0.5235987755982988
716,1787226038.9846544,2.165814667466765,-0.5832589879979231,0.07490453858376114,-2.305698077613668,-1.1919551934417412,-0.8346777279975396,-0.5235987755982988
717,1787226039.0510628,2.232447605420718,-0.21418472788518592,-0.012592308949096465,-2.323371822016205,-0.9409459645121557,-1.0860900384832537,-0.5235987755982988
718,1787226039.0934498,1.8944719326719746,-0.16797369463152384,0.19439658353742842,-2.3348597558778543,-0.9632340277567426,-0.5088685721712287,-0.5235987755982988
719,1787226039.136171,1.6108576169803404,-0.24603208466053478,0.44759674562744645,-1.9215417180582945,-0.9340242543606763,0.07139641133579944,-0.5235987755982988
720,1787226039.179165,1.7066049428711338,-0.35762177087770486,0.46562935493939495,-2.0611677833031092,-0.9068022617331095,0.5047114721206362,-0.5235987755982988
721,1787226039.2298243,1.8977972400386451,-0.45371628511289963,0.2635265718409267,-2.1644271307143415,-0.9584500842231798,0.8452996718218088,-0.5235987755982988
722,1787226039.273591,1.7423716992590503,-0.6045266434956299,0.5487655419428534,-1.8797092685435781,-0.9689132809243495,0.9486131230578946,-0.5235987755982988
723,1787226039.320615,1.5225993872521864,-0.7145226678967511,0.7492826571930717,-1.7118994881846894,-0.9354189077370632,1.0070235941759398,-0.5235987755982988
725,1787226039.4321344,1.8143576732812419,-0.2995061198194241,-0.040983736836026075,-1.8445049834934273,-0.44308867571562693,0.1642776950096233,-0.5235987755982988
726,1787226039.4985838,1.6784030252533668,-0.21590650816939277,0.2746776828857682,-1.5803011879232625,-0.3079023157234473,0.31185429243077284,-0.5235987755982988
727,1787226039.5425432,1.8796080099342811,-0.23002477972051394,-0.23782480536973064,-1.17692879940617,-0.28772932592228323,0.47340748280426426,-0.5235987755982988
728,1787226039.606411,2.028392751203043,-0.2410692739605567,-0.56060219077709,-0.9610469232026221,-0.494458471328422,0.6291594081413696,-0.5235987755982988
730,1787226039.6933105,2.113261447277354,-0.4990684081362298,-0.2096190177586588,-1.449348571649025,-0.7143978239276723,0.4213231858488008,-0.5235987755982988
734,1787226039.9676602,1.9753790947419643,-0.645544680526252,0.304277298089914,-1.7667446431391869,-0.8430026460495763,0.5316638360088402,-0.5235987755982988
739,1787226040.3396218,2.1086644831495978,-0.7151497952714228,-0.3467399219440082,-1.8413555041146048,-0.9323774968208076,-0.08885064848080304,-0.5235987755982988
